The Bronckhorst Divorce-Case,Rudyard Kipling,Other,,bookshelf/processed/the-bronckhorst-divorce-case-by-rudyard-kipling-0000-0001.txt
Irremediable,Ella D'Arcy,Other,,bookshelf/processed/irremediable-by-ella-d-arcy-0000-0002.txt
'A POOR STICK',Arthur Morrison,Other,,bookshelf/processed/a-poor-stick-by-arthur-morrison-0000-0003.txt
The Adventure of the Abbey Grang,Sir Arthur Conan Doyle\,Other,,bookshelf/processed/the-adventure-of-the-abbey-grang-by-sir-arthur-conan-doyle-0000-0004.txt
The Prize Lodger,George Gissing,Other,,bookshelf/processed/the-prize-lodger-by-george-gissing-0000-0005.txt
The Gridiron,Samuel Lover,Europe,United Kingdom,bookshelf/processed/the-gridiron-by-samuel-lover-0001-0001.txt
The Emergency Men,George H. Jessop,Europe,United Kingdom,bookshelf/processed/the-emergency-men-by-george-h-jessop-0001-0002.txt
A Lost Recruit,Jane Barlow,Europe,United Kingdom,bookshelf/processed/a-lost-recruit-by-jane-barlow-0001-0003.txt
The Rival Dreamers,John Banim,Europe,United Kingdom,bookshelf/processed/the-rival-dreamers-by-john-banim-0001-0004.txt
Neal Malone,William Carleton,Europe,United Kingdom,bookshelf/processed/neal-malone-by-william-carleton-0001-0005.txt
The Banshee,Anonymous,Europe,United Kingdom,bookshelf/processed/the-banshee-by-anonymous-0001-0006.txt
"Marriage of Sir John Smith, The",Phœbe Cary,United States,,bookshelf/processed/marriage-of-sir-john-smith-the-by-phoebe-cary-0002-0000.txt
"Spring Beauties, The",Helen Avery Cone,United States,,bookshelf/processed/spring-beauties-the-by-helen-avery-cone-0002-0001.txt
Going Up and Coming Down,Mary F. Tucker,United States,,bookshelf/processed/going-up-and-coming-down-by-mary-f-tucker-0002-0002.txt
"Set of China, The",Elisa Leslie,United States,,bookshelf/processed/set-of-china-the-by-elisa-leslie-0002-0003.txt
Suppressed Chapters,Carolyn Wells,United States,,bookshelf/processed/suppressed-chapters-by-carolyn-wells-0002-0004.txt
Old Grimes,Albert Gorton Greene,United States,,bookshelf/processed/old-grimes-by-albert-gorton-greene-0002-0005.txt
Miss Legion,Bert Leston Taylor,United States,,bookshelf/processed/miss-legion-by-bert-leston-taylor-0002-0006.txt
Have You Seen the Lady?,John Philip Sousa,United States,,bookshelf/processed/have-you-seen-the-lady-by-john-philip-sousa-0002-0007.txt
"Funny Little Fellow, The",James Whitcomb Riley,United States,,bookshelf/processed/funny-little-fellow-the-by-james-whitcomb-riley-0002-0008.txt
Musical Review Extraordinary,John Phoenix,United States,,bookshelf/processed/musical-review-extraordinary-by-john-phoenix-0002-0009.txt
"Runaway Boy, The",James Whitcomb Riley,United States,,bookshelf/processed/runaway-boy-the-by-james-whitcomb-riley-0002-0010.txt
"Drayman, The",Daniel O'Connell,United States,,bookshelf/processed/drayman-the-by-daniel-o-connell-0002-0011.txt
Bill's Courtship,Frank L. Stanton,United States,,bookshelf/processed/bill-s-courtship-by-frank-l-stanton-0002-0012.txt
"Woman Who Married an Owl, The",Anne Virginia Culbertson,United States,,bookshelf/processed/woman-who-married-an-owl-the-by-anne-virginia-culbertson-0002-0013.txt
Mr. Dooley on Expert Testimony,Finley Peter Dunne,United States,,bookshelf/processed/mr-dooley-on-expert-testimony-by-finley-peter-dunne-0002-0014.txt
Lectures on Astronomy,John Phoenix,United States,,bookshelf/processed/lectures-on-astronomy-by-john-phoenix-0002-0015.txt
At Aunty's House,James Whitcomb Riley,United States,,bookshelf/processed/at-aunty-s-house-by-james-whitcomb-riley-0002-0016.txt
Willy and the Lady,Gelett Burgess,United States,,bookshelf/processed/willy-and-the-lady-by-gelett-burgess-0002-0017.txt
"Itinerant Tinker, The",Charles Raymond Macauley,United States,,bookshelf/processed/itinerant-tinker-the-by-charles-raymond-macauley-0002-0018.txt
"Strike of One, The",Elliott Flower,United States,,bookshelf/processed/strike-of-one-the-by-elliott-flower-0002-0019.txt
Simon Starts in the World,J.J. Hooper,United States,,bookshelf/processed/simon-starts-in-the-world-by-j-j-hooper-0002-0020.txt
"Piano in Arkansas, A",Thomas Bangs Thorpe,United States,,bookshelf/processed/piano-in-arkansas-a-by-thomas-bangs-thorpe-0002-0021.txt
Whar Dem Sinful Apples Grow,Anne Virginia Culbertson,United States,,bookshelf/processed/whar-dem-sinful-apples-grow-by-anne-virginia-culbertson-0002-0022.txt
"Night in a Rocking-Chair, A",Kate Field,United States,,bookshelf/processed/night-in-a-rocking-chair-a-by-kate-field-0002-0023.txt
Rollo Learning to Play,Robert J. Burdette,United States,,bookshelf/processed/rollo-learning-to-play-by-robert-j-burdette-0002-0024.txt
Mr. Hare Tries to Get a Wife,Anne Virginia Culbertson,United States,,bookshelf/processed/mr-hare-tries-to-get-a-wife-by-anne-virginia-culbertson-0002-0025.txt
"Co-operative Housekeepers, The",Elliott Flower,United States,,bookshelf/processed/co-operative-housekeepers-the-by-elliott-flower-0002-0026.txt
"Committee from Kelly's, A",J.V.Z. Belden,United States,,bookshelf/processed/committee-from-kelly-s-a-by-j-v-z-belden-0002-0027.txt
Quit Yo' Worryin',Anne Virginia Culbertson,United States,,bookshelf/processed/quit-yo-worryin-by-anne-virginia-culbertson-0002-0028.txt
"Her ""Angel"" Father",Elliott Flower,United States,,bookshelf/processed/her-angel-father-by-elliott-flower-0002-0029.txt
Especially Men,George Randolph Chester,United States,,bookshelf/processed/especially-men-by-george-randolph-chester-0002-0030.txt
"Letter from a Self-Made Merchant to His Son, A",George Horace Lorimer,United States,,bookshelf/processed/letter-from-a-self-made-merchant-to-his-son-a-by-george-horace-lorimer-0002-0031.txt
Farewell,Bert Leston Taylor,United States,,bookshelf/processed/farewell-by-bert-leston-taylor-0002-0032.txt
My Ruthers,James Whitcomb Riley,United States,,bookshelf/processed/my-ruthers-by-james-whitcomb-riley-0002-0033.txt
"Dutiful Mariner, The",Wallace Irwin,United States,,bookshelf/processed/dutiful-mariner-the-by-wallace-irwin-0002-0034.txt
Melinda's Humorous Story,May McHenry,United States,,bookshelf/processed/melinda-s-humorous-story-by-may-mchenry-0002-0035.txt
Abou Ben Butler,John Paul,United States,,bookshelf/processed/abou-ben-butler-by-john-paul-0002-0036.txt
Latter-Day Warnings,Oliver Wendell Holmes,United States,,bookshelf/processed/latter-day-warnings-by-oliver-wendell-holmes-0002-0037.txt
It Pays to be Happy,Tom Masson,United States,,bookshelf/processed/it-pays-to-be-happy-by-tom-masson-0002-0038.txt
"Mosquito, The",William Cullen Bryant,United States,,bookshelf/processed/mosquito-the-by-william-cullen-bryant-0002-0039.txt
Tiddle-Iddle-Iddle-Iddle-Bum! Bum!,Wilbur D. Nesbit,United States,,bookshelf/processed/tiddle-iddle-iddle-iddle-bum-bum-by-wilbur-d-nesbit-0002-0040.txt
My First Cigar,Robert J. Burdette,United States,,bookshelf/processed/my-first-cigar-by-robert-j-burdette-0002-0041.txt
"Bully Boat and a Brag Captain, A",Sol Smith,United States,,bookshelf/processed/bully-boat-and-a-brag-captain-a-by-sol-smith-0002-0042.txt
The Vase Of Clay,Jean Aicard,Europe,France,bookshelf/processed/the-vase-of-clay-by-jean-aicard-0003-0000.txt
The Elixir Of Life,Honoré de Balzac,Europe,France,bookshelf/processed/the-elixir-of-life-by-honore-de-balzac-0003-0001.txt
The Birds In The Letter-Box,René Bazin,Europe,France,bookshelf/processed/the-birds-in-the-letter-box-by-rene-bazin-0003-0002.txt
The Age For Love,Paul Bourget,Europe,France,bookshelf/processed/the-age-for-love-by-paul-bourget-0003-0003.txt
Tonton,A. Cheneviere,Europe,France,bookshelf/processed/tonton-by-a-cheneviere-0003-0004.txt
A Piece Of Bread,François Coppée,Europe,France,bookshelf/processed/a-piece-of-bread-by-francois-coppee-0003-0005.txt
The Last Lesson,Alphonse Daudet,Europe,France,bookshelf/processed/the-last-lesson-by-alphonse-daudet-0003-0006.txt
Solange,Alexandre Dumas père,Europe,France,bookshelf/processed/solange-by-alexandre-dumas-pere-0003-0007.txt
A Forest Betrothal,Erckmann-Chatrian,Europe,France,bookshelf/processed/a-forest-betrothal-by-erckmann-chatrian-0003-0008.txt
My Nephew Joseph,Ludovic Halevy,Europe,France,bookshelf/processed/my-nephew-joseph-by-ludovic-halevy-0003-0009.txt
A Fight With A Cannon,Victor Hugo,Europe,France,bookshelf/processed/a-fight-with-a-cannon-by-victor-hugo-0003-0010.txt
Gil Blas And Dr. Sangrado,Alain René Le Sage,Europe,France,bookshelf/processed/gil-blas-and-dr-sangrado-by-alain-rene-le-sage-0003-0011.txt
Abandoned,Guy de Maupassant,Europe,France,bookshelf/processed/abandoned-by-guy-de-maupassant-0003-0012.txt
The Mirror,Catulle Mendès,Europe,France,bookshelf/processed/the-mirror-by-catulle-mendes-0003-0013.txt
Mateo Falcone,Prosper Mérimée,Europe,France,bookshelf/processed/mateo-falcone-by-prosper-merimee-0003-0014.txt
The Passage Of The Red Sea,Henry Murger,Europe,France,bookshelf/processed/the-passage-of-the-red-sea-by-henry-murger-0003-0015.txt
Croisilles,Alfred de Musset,Europe,France,bookshelf/processed/croisilles-by-alfred-de-musset-0003-0016.txt
The Woman And The Cat,Marcel Prévost,Europe,France,bookshelf/processed/the-woman-and-the-cat-by-marcel-prevost-0003-0017.txt
Baron De Trenck,Clémence Robert,Europe,France,bookshelf/processed/baron-de-trenck-by-clemence-robert-0003-0018.txt
Jean Monette,Eugène François Vidocq,Europe,France,bookshelf/processed/jean-monette-by-eugene-francois-vidocq-0003-0019.txt
Zadig The Babylonian,Voltaire,Europe,France,bookshelf/processed/zadig-the-babylonian-by-voltaire-0003-0020.txt
The Glenmutchkin Railway,W. E. (William Edmondstoune) Aytoun,Europe,United Kingdom,bookshelf/processed/the-glenmutchkin-railway-by-w-e-william-edmondstoune-aytoun-0004-0000.txt
A Doctor of the Old School,Ian [pseud.] Maclaren,Europe,United Kingdom,bookshelf/processed/a-doctor-of-the-old-school-by-ian-pseud-maclaren-0004-0001.txt
Thrawn Janet,Robert Louis Stevenson,Europe,United Kingdom,bookshelf/processed/thrawn-janet-by-robert-louis-stevenson-0004-0002.txt
The Tall Woman,Pedro Antonio de Alarcón,Europe,Spain,bookshelf/processed/the-tall-woman-by-pedro-antonio-de-alarcon-0005-0001.txt
The White Butterfly,José Selgas y Carrasco,Europe,Spain,bookshelf/processed/the-white-butterfly-by-jose-selgas-y-carrasco-0005-0002.txt
Moors and Christians,Pedro Antonio de Alarcón,Europe,Spain,bookshelf/processed/moors-and-christians-by-pedro-antonio-de-alarcon-0005-0003.txt
Bread Cast Upon the Waters,Fernán Caballero,Europe,Spain,bookshelf/processed/bread-cast-upon-the-waters-by-fernan-caballero-0005-0004.txt
"MAESE PEREZ, THE ORGANIST",Gustavo Adolfo Becquer,Europe,Spain,bookshelf/processed/maese-perez-the-organist-by-gustavo-adolfo-becquer-0005-0005.txt
The Nail,Pedro Antonio de Alarcón,Other,,bookshelf/processed/the-nail-by-pedro-antonio-de-alarcon-0006-0000.txt
The Adventure of the Three Robbers,Lucius Apuleius,Other,,bookshelf/processed/the-adventure-of-the-three-robbers-by-lucius-apuleius-0006-0001.txt
Melmoth Reconciled,Honoré de Balzac,Other,,bookshelf/processed/melmoth-reconciled-by-honore-de-balzac-0006-0002.txt
The Conscript,Honoré de Balzac,Other,,bookshelf/processed/the-conscript-by-honore-de-balzac-0006-0003.txt
