Steve Brown’s Bunyip,John Arthur Barry,Australia,Australia,manual/processed/steve-browns-bunyip-by-john-arthur-barry-0000-0000.txt
Dead Man’s Camp,John Arthur Barry,Australia,Australia,manual/processed/dead-mans-camp-by-john-arthur-barry-0000-0001.txt
The Shanghai-ing of Peter Barlow,John Arthur Barry,Australia,Australia,manual/processed/the-shanghai-ing-of-peter-barlow-by-john-arthur-barry-0000-0002.txt
‘Ex Sardanapalus’,John Arthur Barry,Australia,Australia,manual/processed/ex-sardanapalus-by-john-arthur-barry-0000-0003.txt
‘Mo-Poke’,John Arthur Barry,Australia,Australia,manual/processed/mo-poke-by-john-arthur-barry-0000-0004.txt
Keeping School at ‘Dead Finish’,John Arthur Barry,Australia,Australia,manual/processed/keeping-school-at-dead-finish-by-john-arthur-barry-0000-0005.txt
‘Number One North Rainbow’,John Arthur Barry,Australia,Australia,manual/processed/number-one-north-rainbow-by-john-arthur-barry-0000-0006.txt
The Protection of the ‘Sparrowhawk’,John Arthur Barry,Australia,Australia,manual/processed/the-protection-of-the-sparrowhawk-by-john-arthur-barry-0000-0007.txt
The Duke of Silversheen,John Arthur Barry,Australia,Australia,manual/processed/the-duke-of-silversheen-by-john-arthur-barry-0000-0008.txt
The Officer in Charge,John Arthur Barry,Australia,Australia,manual/processed/the-officer-in-charge-by-john-arthur-barry-0000-0009.txt
‘Sojur Jim’,John Arthur Barry,Australia,Australia,manual/processed/sojur-jim-by-john-arthur-barry-0000-0010.txt
Far Inland Football,John Arthur Barry,Australia,Australia,manual/processed/far-inland-football-by-john-arthur-barry-0000-0011.txt
On the Grand Stand,John Arthur Barry,Australia,Australia,manual/processed/on-the-grand-stand-by-john-arthur-barry-0000-0012.txt
Too Far South,John Arthur Barry,Australia,Australia,manual/processed/too-far-south-by-john-arthur-barry-0000-0013.txt
The Mission to Dingo Creek,John Arthur Barry,Australia,Australia,manual/processed/the-mission-to-dingo-creek-by-john-arthur-barry-0000-0014.txt
