The Bronckhorst Divorce-Case,Rudyard Kipling,Other,,bookshelf/processed/the-bronckhorst-divorce-case-by-rudyard-kipling.txt
Irremediable,Ella D'Arcy,Other,,bookshelf/processed/irremediable-by-ella-d-arcy.txt
'A POOR STICK',Arthur Morrison,Other,,bookshelf/processed/a-poor-stick-by-arthur-morrison.txt
The Adventure of the Abbey Grang,Sir Arthur Conan Doyle\,Other,,bookshelf/processed/the-adventure-of-the-abbey-grang-by-sir-arthur-conan-doyle.txt
The Prize Lodger,George Gissing,Other,,bookshelf/processed/the-prize-lodger-by-george-gissing.txt
The Gridiron,Samuel Lover,Europe,United Kingdom,bookshelf/processed/the-gridiron-by-samuel-lover.txt
The Emergency Men,George H. Jessop,Europe,United Kingdom,bookshelf/processed/the-emergency-men-by-george-h-jessop.txt
A Lost Recruit,Jane Barlow,Europe,United Kingdom,bookshelf/processed/a-lost-recruit-by-jane-barlow.txt
The Rival Dreamers,John Banim,Europe,United Kingdom,bookshelf/processed/the-rival-dreamers-by-john-banim.txt
Neal Malone,William Carleton,Europe,United Kingdom,bookshelf/processed/neal-malone-by-william-carleton.txt
The Banshee,Anonymous,Europe,United Kingdom,bookshelf/processed/the-banshee-by-anonymous.txt
"Marriage of Sir John Smith, The",Phœbe Cary,United States,,bookshelf/processed/marriage-of-sir-john-smith-the-by-phoebe-cary.txt
"Spring Beauties, The",Helen Avery Cone,United States,,bookshelf/processed/spring-beauties-the-by-helen-avery-cone.txt
Going Up and Coming Down,Mary F. Tucker,United States,,bookshelf/processed/going-up-and-coming-down-by-mary-f-tucker.txt
"Set of China, The",Elisa Leslie,United States,,bookshelf/processed/set-of-china-the-by-elisa-leslie.txt
Suppressed Chapters,Carolyn Wells,United States,,bookshelf/processed/suppressed-chapters-by-carolyn-wells.txt
Old Grimes,Albert Gorton Greene,United States,,bookshelf/processed/old-grimes-by-albert-gorton-greene.txt
Miss Legion,Bert Leston Taylor,United States,,bookshelf/processed/miss-legion-by-bert-leston-taylor.txt
Have You Seen the Lady?,John Philip Sousa,United States,,bookshelf/processed/have-you-seen-the-lady-by-john-philip-sousa.txt
"Funny Little Fellow, The",James Whitcomb Riley,United States,,bookshelf/processed/funny-little-fellow-the-by-james-whitcomb-riley.txt
Musical Review Extraordinary,John Phoenix,United States,,bookshelf/processed/musical-review-extraordinary-by-john-phoenix.txt
"Runaway Boy, The",James Whitcomb Riley,United States,,bookshelf/processed/runaway-boy-the-by-james-whitcomb-riley.txt
"Drayman, The",Daniel O'Connell,United States,,bookshelf/processed/drayman-the-by-daniel-o-connell.txt
Bill's Courtship,Frank L. Stanton,United States,,bookshelf/processed/bill-s-courtship-by-frank-l-stanton.txt
"Woman Who Married an Owl, The",Anne Virginia Culbertson,United States,,bookshelf/processed/woman-who-married-an-owl-the-by-anne-virginia-culbertson.txt
Mr. Dooley on Expert Testimony,Finley Peter Dunne,United States,,bookshelf/processed/mr-dooley-on-expert-testimony-by-finley-peter-dunne.txt
